"";"08.01 пн";"09.01 вт";"10.01 ср";"11.01 чт";"12.01 пт";"13.01 сб";"14.01 вс";
"00:00 - 01:00";"0";"0";"0";"0";"0";"0";"0";
"01:00 - 02:00";"0";"0";"0";"0";"0";"0";"0";
"02:00 - 03:00";"0";"0";"0";"0";"0";"0";"0";
"03:00 - 04:00";"0";"0";"0";"0";"0";"0";"0";
"04:00 - 05:00";"0";"0";"0";"0";"0";"0";"0";
"05:00 - 06:00";"1";"1";"1";"0";"1";"1";"1";
"06:00 - 07:00";"1";"2";"2";"2";"2";"3";"3";
"07:00 - 08:00";"4";"6";"6";"7";"6";"4";"4";
"08:00 - 09:00";"10";"14";"14";"12";"15";"9";"9";
"09:00 - 10:00";"17";"46";"41";"29";"44";"12";"9";
"10:00 - 11:00";"17";"48";"43";"36";"53";"12";"9";
"11:00 - 12:00";"18";"62";"50";"44";"57";"12";"10";
"12:00 - 13:00";"18";"50";"48";"41";"57";"14";"10";
"13:00 - 14:00";"20";"52";"45";"44";"57";"16";"9";
"14:00 - 15:00";"17";"45";"43";"43";"53";"15";"10";
"15:00 - 16:00";"20";"50";"47";"43";"58";"19";"11";
"16:00 - 17:00";"15";"46";"46";"37";"46";"20";"8";
"17:00 - 18:00";"15";"45";"39";"30";"47";"20";"9";
"18:00 - 19:00";"8";"24";"19";"20";"19";"18";"9";
"19:00 - 20:00";"5";"8";"8";"7";"9";"11";"5";
"20:00 - 21:00";"3";"6";"4";"5";"5";"6";"2";
"21:00 - 22:00";"2";"3";"2";"2";"1";"3";"1";
"22:00 - 23:00";"1";"1";"0";"1";"1";"1";"0";
"23:00 - 00:00";"1";"0";"0";"1";"0";"1";"0";
