"";"08.01 пн";"09.01 вт";"10.01 ср";"11.01 чт";"12.01 пт";"13.01 сб";"14.01 вс";
"00:00 - 01:00";"0";"0";"0";"0";"0";"0";"1";
"01:00 - 02:00";"0";"0";"0";"0";"0";"0";"0";
"02:00 - 03:00";"0";"0";"0";"0";"0";"0";"0";
"03:00 - 04:00";"0";"1";"0";"1";"1";"1";"1";
"04:00 - 05:00";"1";"1";"1";"1";"1";"1";"1";
"05:00 - 06:00";"0";"1";"1";"1";"1";"1";"1";
"06:00 - 07:00";"1";"2";"3";"3";"2";"2";"1";
"07:00 - 08:00";"4";"8";"9";"9";"8";"5";"3";
"08:00 - 09:00";"9";"15";"17";"16";"17";"11";"7";
"09:00 - 10:00";"12";"32";"36";"33";"38";"17";"11";
"10:00 - 11:00";"14";"43";"49";"47";"51";"19";"14";
"11:00 - 12:00";"15";"49";"54";"54";"56";"19";"14";
"12:00 - 13:00";"15";"49";"56";"54";"56";"19";"13";
"13:00 - 14:00";"15";"52";"52";"53";"55";"17";"12";
"14:00 - 15:00";"14";"50";"51";"54";"54";"16";"13";
"15:00 - 16:00";"14";"47";"49";"53";"53";"15";"13";
"16:00 - 17:00";"14";"44";"46";"49";"48";"13";"12";
"17:00 - 18:00";"12";"38";"39";"41";"40";"11";"11";
"18:00 - 19:00";"10";"27";"28";"30";"28";"9";"9";
"19:00 - 20:00";"8";"12";"12";"14";"13";"7";"7";
"20:00 - 21:00";"5";"9";"9";"10";"9";"5";"5";
"21:00 - 22:00";"2";"5";"5";"5";"4";"3";"3";
"22:00 - 23:00";"0";"1";"2";"1";"1";"1";"1";
"23:00 - 00:00";"1";"1";"1";"1";"1";"0";"1";
