"";"08.01 пн";"09.01 вт";"10.01 ср";"11.01 чт";"12.01 пт";"13.01 сб";"14.01 вс";
"00:00 - 01:00";"0";"0";"0";"0";"0";"0";"0";
"01:00 - 02:00";"0";"0";"0";"0";"0";"0";"0";
"02:00 - 03:00";"0";"0";"0";"0";"0";"0";"0";
"03:00 - 04:00";"0";"0";"0";"0";"0";"0";"0";
"04:00 - 05:00";"0";"0";"0";"0";"0";"0";"0";
"05:00 - 06:00";"1";"1";"1";"0";"1";"1";"1";
"06:00 - 07:00";"1";"2";"2";"2";"2";"3";"3";
"07:00 - 08:00";"2";"3";"4";"5";"4";"3";"2";
"08:00 - 09:00";"5";"8";"7";"7";"8";"5";"5";
"09:00 - 10:00";"7";"16";"13";"11";"16";"6";"5";
"10:00 - 11:00";"7";"13";"12";"11";"16";"7";"6";
"11:00 - 12:00";"7";"16";"9";"11";"16";"7";"6";
"12:00 - 13:00";"7";"12";"11";"11";"15";"8";"6";
"13:00 - 14:00";"9";"12";"10";"12";"16";"9";"6";
"14:00 - 15:00";"7";"11";"10";"12";"14";"9";"6";
"15:00 - 16:00";"8";"12";"10";"11";"15";"11";"6";
"16:00 - 17:00";"6";"11";"12";"9";"11";"13";"5";
"17:00 - 18:00";"6";"11";"10";"8";"12";"11";"5";
"18:00 - 19:00";"3";"7";"6";"6";"6";"10";"5";
"19:00 - 20:00";"2";"5";"5";"4";"5";"6";"3";
"20:00 - 21:00";"2";"4";"3";"3";"3";"4";"1";
"21:00 - 22:00";"1";"2";"1";"1";"1";"2";"0";
"22:00 - 23:00";"1";"1";"0";"1";"1";"1";"0";
"23:00 - 00:00";"1";"0";"0";"1";"0";"1";"0";
