"";"08.01 пн";"09.01 вт";"10.01 ср";"11.01 чт";"12.01 пт";"13.01 сб";"14.01 вс";
"00:00 - 01:00";"0";"0";"0";"0";"0";"0";"1";
"01:00 - 02:00";"0";"0";"0";"0";"0";"0";"0";
"02:00 - 03:00";"0";"0";"0";"0";"0";"0";"0";
"03:00 - 04:00";"0";"1";"0";"1";"1";"1";"1";
"04:00 - 05:00";"1";"1";"1";"1";"1";"1";"1";
"05:00 - 06:00";"0";"1";"1";"1";"1";"1";"1";
"06:00 - 07:00";"1";"2";"3";"3";"2";"2";"1";
"07:00 - 08:00";"2";"5";"5";"6";"5";"3";"2";
"08:00 - 09:00";"4";"8";"8";"9";"9";"5";"4";
"09:00 - 10:00";"5";"10";"11";"12";"13";"8";"6";
"10:00 - 11:00";"6";"12";"13";"14";"14";"10";"8";
"11:00 - 12:00";"6";"12";"13";"14";"15";"10";"8";
"12:00 - 13:00";"6";"12";"14";"14";"15";"10";"7";
"13:00 - 14:00";"6";"12";"13";"15";"14";"10";"7";
"14:00 - 15:00";"6";"12";"12";"14";"14";"9";"7";
"15:00 - 16:00";"6";"10";"11";"13";"13";"9";"7";
"16:00 - 17:00";"5";"9";"11";"11";"11";"8";"6";
"17:00 - 18:00";"5";"9";"9";"9";"10";"7";"6";
"18:00 - 19:00";"4";"8";"8";"9";"8";"5";"5";
"19:00 - 20:00";"3";"7";"7";"8";"7";"4";"4";
"20:00 - 21:00";"2";"5";"5";"6";"5";"3";"3";
"21:00 - 22:00";"1";"3";"3";"3";"3";"2";"2";
"22:00 - 23:00";"0";"1";"2";"1";"1";"1";"1";
"23:00 - 00:00";"1";"1";"1";"1";"1";"0";"1";
