"";"08.01 пн";"09.01 вт";"10.01 ср";"11.01 чт";"12.01 пт";"13.01 сб";"14.01 вс";
"00:00 - 01:00";"0";"0";"0";"0";"0";"0";"0";
"01:00 - 02:00";"0";"0";"0";"0";"0";"0";"0";
"02:00 - 03:00";"0";"0";"0";"0";"0";"0";"0";
"03:00 - 04:00";"0";"0";"0";"0";"0";"0";"0";
"04:00 - 05:00";"0";"0";"0";"0";"0";"0";"0";
"05:00 - 06:00";"0";"0";"0";"0";"0";"0";"0";
"06:00 - 07:00";"0";"0";"0";"0";"0";"0";"0";
"07:00 - 08:00";"0";"0";"0";"0";"0";"0";"0";
"08:00 - 09:00";"0";"0";"0";"0";"0";"0";"0";
"09:00 - 10:00";"0";"12";"14";"10";"13";"0";"0";
"10:00 - 11:00";"0";"21";"23";"21";"23";"0";"0";
"11:00 - 12:00";"0";"26";"28";"28";"27";"0";"0";
"12:00 - 13:00";"0";"27";"29";"28";"28";"0";"0";
"13:00 - 14:00";"0";"29";"28";"27";"27";"0";"0";
"14:00 - 15:00";"0";"28";"28";"28";"29";"0";"0";
"15:00 - 16:00";"0";"27";"28";"29";"28";"0";"0";
"16:00 - 17:00";"0";"26";"25";"27";"26";"0";"0";
"17:00 - 18:00";"0";"22";"20";"22";"21";"0";"0";
"18:00 - 19:00";"0";"13";"12";"13";"12";"0";"0";
"19:00 - 20:00";"0";"0";"0";"0";"0";"0";"0";
"20:00 - 21:00";"0";"0";"0";"0";"0";"0";"0";
"21:00 - 22:00";"0";"0";"0";"0";"0";"0";"0";
"22:00 - 23:00";"0";"0";"0";"0";"0";"0";"0";
"23:00 - 00:00";"0";"0";"0";"0";"0";"0";"0";
