"";"08.01 пн";"09.01 вт";"10.01 ср";"11.01 чт";"12.01 пт";"13.01 сб";"14.01 вс";
"00:00 - 01:00";"0";"0";"0";"0";"0";"0";"0";
"01:00 - 02:00";"0";"0";"0";"0";"0";"0";"0";
"02:00 - 03:00";"0";"0";"0";"0";"0";"0";"0";
"03:00 - 04:00";"0";"0";"0";"0";"0";"0";"0";
"04:00 - 05:00";"0";"0";"0";"0";"0";"0";"0";
"05:00 - 06:00";"0";"0";"0";"0";"0";"0";"0";
"06:00 - 07:00";"0";"0";"0";"0";"0";"0";"0";
"07:00 - 08:00";"2";"2";"2";"2";"2";"2";"2";
"08:00 - 09:00";"5";"6";"7";"5";"6";"5";"4";
"09:00 - 10:00";"10";"14";"13";"10";"14";"6";"4";
"10:00 - 11:00";"10";"11";"11";"10";"14";"5";"3";
"11:00 - 12:00";"10";"13";"8";"10";"13";"5";"4";
"12:00 - 13:00";"11";"11";"9";"9";"14";"6";"4";
"13:00 - 14:00";"11";"10";"8";"10";"13";"7";"4";
"14:00 - 15:00";"10";"9";"8";"9";"11";"6";"4";
"15:00 - 16:00";"12";"10";"9";"9";"12";"8";"5";
"16:00 - 17:00";"10";"9";"10";"8";"10";"8";"3";
"17:00 - 18:00";"9";"9";"9";"7";"11";"8";"4";
"18:00 - 19:00";"4";"5";"5";"5";"5";"8";"4";
"19:00 - 20:00";"2";"3";"4";"3";"4";"5";"2";
"20:00 - 21:00";"1";"2";"2";"2";"2";"3";"1";
"21:00 - 22:00";"1";"1";"1";"0";"0";"1";"0";
"22:00 - 23:00";"0";"0";"0";"0";"0";"0";"0";
"23:00 - 00:00";"0";"0";"0";"0";"0";"0";"0";
