"";"08.01 пн";"09.01 вт";"10.01 ср";"11.01 чт";"12.01 пт";"13.01 сб";"14.01 вс";
"00:00 - 01:00";"0";"0";"0";"0";"0";"0";"0";
"01:00 - 02:00";"0";"0";"0";"0";"0";"0";"0";
"02:00 - 03:00";"0";"0";"0";"0";"0";"0";"0";
"03:00 - 04:00";"0";"0";"0";"0";"0";"0";"0";
"04:00 - 05:00";"0";"0";"0";"0";"0";"0";"0";
"05:00 - 06:00";"0";"0";"0";"0";"0";"0";"0";
"06:00 - 07:00";"0";"0";"0";"0";"0";"0";"0";
"07:00 - 08:00";"2";"3";"3";"3";"3";"2";"1";
"08:00 - 09:00";"5";"7";"8";"7";"8";"6";"3";
"09:00 - 10:00";"7";"10";"12";"11";"12";"8";"5";
"10:00 - 11:00";"8";"11";"13";"13";"14";"9";"6";
"11:00 - 12:00";"9";"11";"13";"12";"14";"9";"5";
"12:00 - 13:00";"9";"11";"13";"12";"14";"8";"5";
"13:00 - 14:00";"9";"11";"12";"12";"13";"8";"5";
"14:00 - 15:00";"9";"10";"11";"12";"12";"7";"6";
"15:00 - 16:00";"9";"10";"11";"11";"12";"6";"6";
"16:00 - 17:00";"9";"9";"10";"11";"11";"5";"6";
"17:00 - 18:00";"8";"8";"9";"9";"10";"5";"5";
"18:00 - 19:00";"6";"6";"8";"8";"8";"4";"4";
"19:00 - 20:00";"4";"5";"6";"6";"6";"3";"3";
"20:00 - 21:00";"3";"4";"4";"4";"3";"2";"3";
"21:00 - 22:00";"1";"2";"2";"1";"1";"1";"1";
"22:00 - 23:00";"0";"0";"0";"0";"0";"0";"0";
"23:00 - 00:00";"0";"0";"0";"0";"0";"0";"0";
